Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1968,10.81%,60.69%,5.34%,3.27%,4.85%,4.13%,12.47%," $ 3,694.23 "," $ 46,819.67 ", $ 207.39 , $ 287.11 , $ 615.36 , $ 300.17 , $ 190.46 ,5.48%,7.54%,49.88%,5.97%,6.60%,4.72%,5.82%,53.45%,0.59%,-1.38%,0.12%,-0.56%,7.41%," $ 1,800.29 "," $ 23,135.96 ", $ 101.07 , $ 139.92 , $ 299.88 , $ 146.28 , $ 92.81 ,5.23%,7.20%
1969,-8.24%,-32.95%,6.67%,-5.01%,-2.03%,6.99%,5.01%," $ 3,389.77 "," $ 31,392.59 ", $ 221.22 , $ 272.71 , $ 602.90 , $ 321.16 , $ 200.00 ,-14.91%,-3.23%,-24.71%,-6.22%,6.33%,6.20%,-13.60%,-36.86%,0.44%,-10.56%,-7.74%,0.75%,-1.12%," $ 1,555.52 "," $ 14,607.41 ", $ 101.52 , $ 125.14 , $ 276.66 , $ 147.38 , $ 91.78 ,-14.04%,-3.04%
1970,3.56%,-18.78%,6.39%,16.75%,5.65%,8.22%,-9.45%," $ 3,510.49 "," $ 25,497.06 ", $ 235.36 , $ 318.41 , $ 636.96 , $ 347.55 , $ 181.10 ,-2.83%,-13.19%,-22.34%,-2.09%,5.90%,5.57%,-1.90%,-23.07%,0.78%,10.59%,0.08%,2.51%,-14.23%," $ 1,525.92 "," $ 11,238.14 ", $ 102.30 , $ 138.40 , $ 276.87 , $ 151.07 , $ 78.72 ,-2.68%,-12.50%
1971,14.22%,15.96%,4.33%,9.79%,14.00%,4.24%,16.69%," $ 4,009.72 "," $ 29,566.39 ", $ 245.56 , $ 349.57 , $ 726.14 , $ 362.30 , $ 211.34 ,9.89%,4.43%,1.74%,0.22%,5.87%,3.27%,10.61%,12.29%,1.03%,6.31%,10.40%,0.95%,13.00%," $ 1,687.79 "," $ 12,619.55 ", $ 103.36 , $ 147.14 , $ 305.65 , $ 152.50 , $ 88.96 ,9.57%,4.29%
1972,18.76%,0.16%,4.06%,2.82%,11.41%,2.98%,48.78%," $ 4,761.76 "," $ 29,613.70 ", $ 255.53 , $ 359.42 , $ 808.99 , $ 373.08 , $ 314.44 ,14.69%,15.94%,-18.60%,7.35%,6.08%,3.41%,14.84%,-3.14%,0.63%,-0.57%,7.74%,-0.42%,43.88%," $ 1,938.32 "," $ 12,223.38 ", $ 104.02 , $ 146.31 , $ 329.31 , $ 151.87 , $ 127.99 ,14.21%,15.41%
1973,-14.31%,-38.80%,7.04%,3.66%,4.32%,3.42%,72.96%," $ 4,080.44 "," $ 18,123.58 ", $ 273.51 , $ 372.57 , $ 843.92 , $ 385.85 , $ 543.85 ,-21.34%,-17.97%,-24.49%,-18.63%,5.50%,8.71%,-21.17%,-43.70%,-1.54%,-4.64%,-4.04%,-4.86%,59.11%," $ 1,527.96 "," $ 6,881.60 ", $ 102.42 , $ 139.51 , $ 316.01 , $ 144.48 , $ 203.65 ,-19.63%,-16.53%
1974,-25.90%,-26.90%,7.85%,1.99%,-4.38%,10.07%,66.15%," $ 3,023.54 "," $ 13,248.34 ", $ 294.97 , $ 379.98 , $ 806.95 , $ 424.72 , $ 903.59 ,-33.75%,-27.89%,-1.00%,-21.52%,4.64%,12.34%,-34.04%,-34.93%,-4.00%,-9.21%,-14.88%,-2.02%,47.90%," $ 1,007.85 "," $ 4,477.97 ", $ 98.32 , $ 126.66 , $ 268.98 , $ 141.57 , $ 301.20 ,-30.04%,-24.83%
1975,37.00%,59.68%,5.79%,3.61%,11.05%,6.77%,-24.80%," $ 4,142.10 "," $ 21,154.95 ", $ 312.04 , $ 393.68 , $ 896.12 , $ 453.48 , $ 679.51 ,31.21%,33.39%,22.68%,25.95%,5.17%,6.94%,28.11%,49.32%,-1.08%,-3.12%,3.85%,-0.15%,-29.68%," $ 1,291.14 "," $ 6,686.62 ", $ 97.27 , $ 122.71 , $ 279.33 , $ 141.36 , $ 211.81 ,29.18%,31.22%
1976,23.83%,48.62%,4.98%,15.98%,19.75%,8.18%,-4.10%," $ 5,129.20 "," $ 31,440.48 ", $ 327.57 , $ 456.61 ," $ 1,073.13 ", $ 490.57 , $ 651.65 ,18.85%,7.85%,24.79%,4.08%,5.22%,4.86%,18.09%,41.73%,0.11%,10.60%,14.20%,3.16%,-8.55%," $ 1,524.66 "," $ 9,476.63 ", $ 97.37 , $ 135.73 , $ 318.99 , $ 145.82 , $ 193.70 ,17.98%,7.48%
1977,-6.98%,30.29%,5.26%,1.29%,9.95%,14.65%,22.64%," $ 4,771.20 "," $ 40,963.80 ", $ 344.80 , $ 462.50 ," $ 1,179.96 ", $ 562.46 , $ 799.18 ,-12.24%,-8.27%,37.27%,-16.93%,4.93%,6.70%,-12.82%,22.11%,-1.35%,-5.07%,3.05%,7.45%,14.94%," $ 1,329.17 "," $ 11,571.68 ", $ 96.06 , $ 128.84 , $ 328.72 , $ 156.69 , $ 222.64 ,-11.47%,-7.75%
1978,6.51%,28.89%,7.18%,-0.78%,3.14%,15.72%,37.01%," $ 5,081.77 "," $ 52,798.25 ", $ 369.55 , $ 458.90 ," $ 1,216.98 ", $ 650.90 ," $ 1,094.96 ",-0.67%,7.29%,22.38%,3.37%,4.97%,9.02%,-2.30%,18.23%,-1.69%,-8.99%,-5.39%,6.15%,25.68%," $ 1,298.59 "," $ 13,681.02 ", $ 94.44 , $ 117.27 , $ 310.99 , $ 166.33 , $ 279.81 ,-0.61%,6.68%
1979,18.52%,41.69%,10.05%,0.67%,-2.01%,13.74%,126.55%," $ 6,022.89 "," $ 74,809.83 ", $ 406.71 , $ 461.98 ," $ 1,192.53 ", $ 740.35 ," $ 2,480.62 ",8.47%,17.85%,23.17%,20.53%,5.21%,13.29%,4.61%,25.06%,-2.86%,-11.14%,-13.51%,0.40%,99.97%," $ 1,358.49 "," $ 17,110.04 ", $ 91.74 , $ 104.20 , $ 268.98 , $ 166.99 , $ 559.51 ,7.47%,15.75%
